model,ccp_alpha,tree_depth,n_leaves,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,holdout_accuracy,holdout_precision_macro,holdout_recall_macro,holdout_f1_macro
unpruned,0.0,13,31,0.8342602495543673,0.07449793219878285,0.8037459781327628,0.09379091010495583,0.9047619047619048,0.9305555555555555,0.9134199134199134,0.919732441471572
pruned,0.006413,8,17,0.8716934046345812,0.05630469197598238,0.8382105493632567,0.07856135041054926,0.9285714285714286,0.9453734671125975,0.9372294372294373,0.9407407407407407
