feature,score
Surfactant (HLB),0.4714005309997584
Surfactant Amount (g),0.3040394177850143
Co-Surfactant (Ratio),0.30074142732682296
Oil (mPa.s),0.2194049264283704
Water Phase Amount (g),0.16633858127080692
Oil Amount (g),0.13334046411173928
Water-phase potential (V),0.05591856901498282
