node_id,n_node_samples,predicted_class,class1_count,class2_count,class3_count
3,11,2,0.0,1.0,0.0
8,8,1,1.0,0.0,0.0
9,2,3,0.0,0.0,1.0
12,26,1,1.0,0.0,0.0
13,3,2,0.0,1.0,0.0
14,31,1,1.0,0.0,0.0
16,7,1,0.7142857142857143,0.2857142857142857,0.0
17,2,3,0.0,0.0,1.0
18,2,2,0.0,1.0,0.0
21,5,3,0.0,0.0,1.0
22,50,2,0.02,0.98,0.0
25,11,2,0.09090909090909091,0.8181818181818182,0.09090909090909091
26,14,1,1.0,0.0,0.0
29,24,3,0.0,0.0,1.0
30,2,2,0.0,1.0,0.0
31,8,2,0.0,1.0,0.0
32,52,3,0.0,0.0,1.0
