model,accuracy_mean,accuracy_std,accuracy_ci95,precision_macro_mean,precision_macro_std,precision_macro_ci95,recall_macro_mean,recall_macro_std,recall_macro_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,training_time_mean,training_time_std,feature_method,selected_features
SVM-rbf + scaling + SMOTE,0.7529590017825311,0.06618128623588879,0.01834451662373759,0.7858660103283942,0.0829449991620964,0.0229911807782281,0.7105228758169935,0.09036709174281377,0.025048479880040588,0.723530698293233,0.0858211746270433,0.02378841594288546,0.01105659008026123,0.002608921929720973,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7469696969696971,0.0657518520825567,0.018225483549395058,0.8377902446772753,0.05615697896946753,0.015565920410982243,0.6818510596157654,0.09334065957226599,0.025872710830837926,0.7103248204442327,0.09327238892855358,0.025853787173868922,0.17317142486572265,0.10727877315765753,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
SVM-linear + scaling + SMOTE,0.72777183600713,0.07320770577033439,0.02029214075264269,0.751732509887275,0.09388752657825387,0.026024294631227685,0.6969887106357696,0.09654755743661583,0.026761617567608066,0.7048743523879106,0.09593837031098701,0.026592759511370943,0.009344806671142578,0.0011308222879529261,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
GaussianNB + scaling + SMOTE,0.7050623885918003,0.11524694863857957,0.031944824366211766,0.7665828407756327,0.09891478061744799,0.02741777835659744,0.7016343830461477,0.10317492322345694,0.028598629641005457,0.7013726749365332,0.11877334306811915,0.032922291032604,0.005194444656372071,0.0009089799754364805,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
SVM-poly + scaling + SMOTE,0.7354367201426024,0.08003309438747423,0.02218404195420461,0.7751956006184031,0.12205443786066918,0.033831764108594974,0.6716640918993859,0.10723301164138442,0.02972347436188213,0.6865182092042937,0.11476949367060385,0.031812480601149565,0.008389158248901367,0.0008112886280772438,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
SVM-sigmoid + scaling + SMOTE,0.6622816399286987,0.09081949935712197,0.025173880872880187,0.6588648451589291,0.11787326795067642,0.032672802938708556,0.6330053475935828,0.11238806889256536,0.031152383330250385,0.6270353556955149,0.11121637234682427,0.030827605617639725,0.01266049861907959,0.002118491853309407,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water-phase potential (V); Water Phase Amount (g)
DecisionTree-pruned + scaling + SMOTE,0.8511942959001781,0.04571999449612852,0.01267293591245745,0.8460518179429539,0.0666311989024338,0.018469226052340228,0.8001212121212121,0.06861839405598674,0.019020048446438613,0.8082732070727041,0.06513100601096546,0.01805339379821534,0.008327898979187011,0.005360755131313538,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
KNN + scaling + SMOTE,0.7813547237076651,0.06165658824650642,0.017090334328341134,0.7931018519639129,0.09698067269481865,0.02688167099216341,0.7344804911863737,0.08700822660087341,0.024117449963009387,0.7454867691555233,0.08973560914140755,0.024873441833215566,0.012637157440185547,0.010498935492599866,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
SVM-linear + scaling + SMOTE,0.7488235294117648,0.0727016273789553,0.02015186297939909,0.7697741721642649,0.10681133511948544,0.02960659159326618,0.717061200237671,0.08939687429663772,0.02477954932455729,0.7273463738680719,0.09415684060205992,0.026098944670048425,0.030084571838378905,0.0907520686668262,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
SVM-rbf + scaling + SMOTE,0.7462745098039215,0.06757574946719244,0.01873104211126988,0.7748698977607645,0.08536990057677431,0.023663329157966918,0.7142483660130717,0.08842460360969277,0.02451004963976932,0.722905708440988,0.08637318430917844,0.023941425220376667,0.014698472023010254,0.028870388190858853,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
