feature,score
Surfactant (HLB),0.09414225009297314
Co-Surfactant (Ratio),0.0708456841832136
Oil (mPa.s),0.07018875885009314
Surfactant Amount (g),0.06204098921632138
Water-phase potential (V),0.03854550311351947
Oil Amount (g),0.0041377921783838706
Water Phase Amount (g),0.0018769088382847945
