feature,score
Surfactant (HLB),0.2138259705315999
Co-Surfactant (Ratio),0.13921907113089899
Oil (mPa.s),0.06428437837259025
Water Phase Amount (g),0.06251124384170073
Water Phase (V),0.0622258711324162
Surfactant Amount (g),0.040700308014403254
Oil Amount (g),0.0062129823618086695
