model,accuracy_mean,accuracy_std,accuracy_ci95,precision_macro_mean,precision_macro_std,precision_macro_ci95,recall_macro_mean,recall_macro_std,recall_macro_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,training_time_mean,training_time_std
DecisionTree-pruned + scaling + SMOTE,0.8716934046345812,0.05630469197598238,0.015606864367464076,0.8759125772959736,0.06904003673023926,0.019136921832965635,0.827439889086948,0.08411737135802168,0.023316145771514925,0.8382105493632567,0.07856135041054926,0.021776095336873,0.004700641632080078,0.000654154931509503
"Baseline SVM-linear (no scaling, no SMOTE)",0.7427272727272728,0.06272305280859994,0.01738594322325171,0.8270828093512506,0.07981130641435633,0.022122565464531913,0.6753412556941969,0.08896713703430868,0.0246604322326873,0.7034055807716593,0.093665877701952,0.02596285669722532,0.29159810066223146,0.20266610990522077
SVM-rbf + scaling + SMOTE,0.7409090909090907,0.06582823912802462,0.018246656958150365,0.7731054856444614,0.0945824724450675,0.026216923797740422,0.6955630817983759,0.091728811629382,0.02542592937546122,0.7090468753960593,0.09046042958727572,0.025074351810562657,0.010971755981445312,0.0009544943896824579
KNN + scaling + SMOTE,0.7355080213903743,0.07125770797663353,0.019751628940658614,0.7714682803225001,0.08132105650512521,0.022541046839147146,0.6991586452762922,0.08595541274155136,0.023825624849861896,0.7136337689358484,0.08263012950389372,0.022903903361790136,0.004701385498046875,0.0009123574220252184
SVM-linear + scaling + SMOTE,0.7252941176470589,0.06812405582406006,0.018883024879368524,0.7467993864045149,0.09199578434228724,0.025499930436010555,0.697513567042979,0.09094783437984597,0.02520945352629428,0.7048290995611214,0.08926391573752837,0.024742695092242185,0.01000424861907959,0.0009950422714485084
SVM-poly + scaling + SMOTE,0.7132442067736185,0.08086882849479374,0.022415695629989976,0.7456731013593378,0.12607768797607402,0.03494695214468781,0.6398783917607447,0.10659454846567194,0.02954650139857713,0.6542589509353582,0.11749497761006461,0.03256794620598779,0.008853917121887206,0.0011574809171308548
GaussianNB + scaling + SMOTE,0.6902495543672014,0.09948585444182034,0.027576071944715997,0.7228109781515356,0.09262300911667458,0.025673788273399167,0.6951836007130124,0.08956896889927032,0.024827251514683922,0.6831246253947013,0.09797918261600236,0.02715844382161302,0.004431285858154297,0.0007201002985227837
SVM-sigmoid + scaling + SMOTE,0.6741711229946524,0.07161796450143788,0.01985148695466771,0.6597472279755563,0.10357914870969162,0.028710675229323888,0.6511598336304218,0.08918225271598114,0.02472005925752936,0.6365682168841001,0.08651386448132159,0.023980419774627424,0.010150723457336426,0.0010530850529301282
